id,relid,year,conflict_name,dyad_name,side_a,side_b,state,lga,latitude,longitude,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_estimate,high_estimate,low_estimate,source_article,source_headline,location_description
254034,CHA-2018-2-5583-20.1,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Obi lga,8.31667,8.85,2018-02-05,2018-02-11,0,5,0,0,5,5,5,"""All Africa,2018-02-12,20 Persons Killed in Latest Attacks On Nasarawa Communities - Senator""",20 Persons Killed in Latest Attacks On Nasarawa Communities - Senator,Agwatashi
254374,CHA-2018-2-5583-28.1,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Keana lga,8.23333,8.56667,2018-02-06,2018-02-06,0,2,0,0,2,2,2,"""Nigeria Watch,2018-02-06,Fulani Herdsmen Attack, Nasarawa""","Fulani Herdsmen Attack, Nasarawa",Kadarko
254375,CHA-2018-2-5583-28.2,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Obi lga,8.284135,8.990488,2018-02-06,2018-02-06,0,2,0,0,2,2,2,"""Nigeria Watch,2018-02-06,Fulani Herdsmen Attack, Nasarawa""","Fulani Herdsmen Attack, Nasarawa",Apurough
254376,CHA-2018-2-5583-28.3,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Obi lga,8.385338,8.763083,2018-02-06,2018-02-06,0,2,0,0,2,2,2,"""Nigeria Watch,2018-02-06,Fulani Herdsmen Attack, Nasarawa""","Fulani Herdsmen Attack, Nasarawa",Kwaghshir
254377,CHA-2018-2-5583-28.4,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Obi lga,8.34738,8.72769,2018-02-06,2018-02-06,0,2,0,0,2,2,2,"""Nigeria Watch,2018-02-06,Fulani Herdsmen Attack, Nasarawa""","Fulani Herdsmen Attack, Nasarawa","Baaki, Ibuan,and Buaii, Ibo LGA"
254019,CHA-2018-2-5583-18,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Benue state,Logo lga,7.81875,9.24534,2018-02-08,2018-02-08,0,2,1,0,3,3,3,"""All Africa,2018-02-09,Three Killed in Fresh Attacks On Benue Communities""",Three Killed in Fresh Attacks On Benue Communities,"Anyiin (around), Logo LGA"
254266,CHA-2018-2-5583-22,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Benue state,Guma lga,7.96667,8.76667,2018-02-19,2018-02-25,0,0,0,0,0,61,0,"""Crisis Watch February,2018-02-28,Nigeria  FEBRUARY 2018""",Nigeria  FEBRUARY 2018,Guma area
254383,CHA-2018-2-5235-1.1,2018,Fulani - Mambila,Fulani - Mambila,Fulani,Mambila,Taraba state,Sardauna lga,6.816303,11.233413,2018-03-01,2018-03-04,3,0,0,0,3,6,3,"""Nigeria Watch,2018-03-01,Communal Clash, Taraba"";""All Africa,2018-03-05,Scores Feared Dead As Mambilla Crisis Escalates"";""All Africa,2018-03-05,Mambilla - 20 Reported Killed, 300 Cows Stolen in Fresh Taraba Violence"";""Agence France Presse,2018-03-05,At least 10 die in Nigeria farmer-herder clashes: police""","Communal Clash, Taraba;Scores Feared Dead As Mambilla Crisis Escalates;Mambilla - 20 Reported Killed, 300 Cows Stolen in Fresh Taraba Violence;At least 10 die in Nigeria farmer-herder clashes: police",Likitaba
254959,CHA-2018-2-5235-1.2,2018,Fulani - Mambila,Fulani - Mambila,Fulani,Mambila,Taraba state,Sardauna lga,6.749681,11.200112,2018-03-01,2018-03-04,3,0,0,0,3,6,3,"""Agence France Presse,2018-03-05,At least 10 die in Nigeria farmer-herder clashes: police"";""Nigeria Watch,2018-03-01,Communal Clash, Taraba"";""All Africa,2018-03-05,Mambilla - 20 Reported Killed, 300 Cows Stolen in Fresh Taraba Violence"";""All Africa,2018-03-05,Scores Feared Dead As Mambilla Crisis Escalates""","At least 10 die in Nigeria farmer-herder clashes: police;Communal Clash, Taraba;Mambilla - 20 Reported Killed, 300 Cows Stolen in Fresh Taraba Violence;Scores Feared Dead As Mambilla Crisis Escalates",Leme on the outskirts of Gembu
254960,CHA-2018-2-5235-1.3,2018,Fulani - Mambila,Fulani - Mambila,Fulani,Mambila,Taraba state,Sardauna lga,6.96012,11.11628,2018-03-01,2018-03-04,4,0,0,0,4,7,4,"""Nigeria Watch,2018-03-01,Communal Clash, Taraba"";""All Africa,2018-03-05,Mambilla - 20 Reported Killed, 300 Cows Stolen in Fresh Taraba Violence"";""All Africa,2018-03-05,Scores Feared Dead As Mambilla Crisis Escalates"";""Agence France Presse,2018-03-05,At least 10 die in Nigeria farmer-herder clashes: police""","Communal Clash, Taraba;Mambilla - 20 Reported Killed, 300 Cows Stolen in Fresh Taraba Violence;Scores Feared Dead As Mambilla Crisis Escalates;At least 10 die in Nigeria farmer-herder clashes: police",Nguroje village
