id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
371466,NIG-2020-1-14669-290,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-11-09,After weekend update:""",@TomaszRolbiecki,2020-11-09,After weekend update:,ISWAP,1,Old Marte town,Marte,Borno state,Marte lga,12.365320,13.829300,POINT (13.8293 12.36532),147268,Nigeria,NGA,475,Africa,1,1,2020-11-04 00:00:00.000,2020-11-04 00:00:00.000,0,0,0,0,0,3,0,475,
371467,NIG-2020-1-14669-291,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-11-09,After weekend update:""",@TomaszRolbiecki,2020-11-09,After weekend update:,ISWAP,1,Baga village,in Baga,Borno state,Kukawa lga,13.094660,13.823430,POINT (13.82343 13.09466),148708,Nigeria,NGA,475,Africa,1,1,2020-11-04 00:00:00.000,2020-11-04 00:00:00.000,0,0,0,0,0,1,0,475,
371468,NIG-2020-1-14669-292,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""@TomaszRolbiecki,2020-11-09,Finally, yesterday the group claimed"";""HumAngle,2020-11-11,Nigerian Troops Eliminate Terrorists, Rescue Victims In North East""",@TomaszRolbiecki;HumAngle,2020-11-09;2020-11-11,"Finally, yesterday the group claimed;Nigerian Troops Eliminate Terrorists, Rescue Victims In North East",ISWAP /// HumAngle; Defence,1,Buni village,Buni Gari town,Yobe state,Gujba lga,11.201480,12.031250,POINT (12.03125 11.20148),145825,Nigeria,NGA,475,Africa,1,1,2020-11-07 00:00:00.000,2020-11-07 00:00:00.000,0,5,0,0,5,6,5,475,
371276,NIG-2020-1-14669-287,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,3,"""HumAngle,2020-11-09,Nigerian Airforce Destroys ISWAP Fuel facility, Kills Fighters In Lake Chad"";""@TomaszRolbiecki,2020-11-09,Meanwhile, Nigerian Air Force conducted"";""Crisis Watch,2020-12-01,Nigeria NOVEMBER 2020""",HumAngle;@TomaszRolbiecki;Crisis Watch,2020-11-09;2020-11-09;2020-12-01,"Nigerian Airforce Destroys ISWAP Fuel facility, Kills Fighters In Lake Chad;Meanwhile, Nigerian Air Force conducted;Nigeria NOVEMBER 2020",Crisis Watch /// military,1,Tumbun Allura village,"in Abadam

///

at Tumbum Allura in Lake Chad

///

Tumbun Allura",Borno state,Abadam lga,13.524385,13.496058,POINT (13.496058 13.524385),149427,Nigeria,NGA,475,Africa,1,1,2020-11-08 00:00:00.000,2020-11-08 00:00:00.000,0,3,0,0,3,3,2,475,
371478,NIG-2020-1-14669-293,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-11-11,ISWAP claims: 3 yesterday, 1 today""",@TomaszRolbiecki,2020-11-11,"ISWAP claims: 3 yesterday, 1 today",ISWAP,5,Gajiram-Monguno road,on the Gajiram-Monguno road,Borno state,,12.652114,13.362951,POINT (13.362951 12.652114),147987,Nigeria,NGA,475,Africa,1,1,2020-11-09 00:00:00.000,2020-11-09 00:00:00.000,0,0,0,0,0,5,0,475,
371479,NIG-2020-1-14669-294,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-11-11,ISWAP claims: 3 yesterday, 1 today""",@TomaszRolbiecki,2020-11-11,"ISWAP claims: 3 yesterday, 1 today",ISWAP,1,Karetu village,in Kareto,Borno state,Mobbar lga,12.884700,12.508100,POINT (12.5081 12.8847),147986,Nigeria,NGA,475,Africa,1,1,2020-11-11 00:00:00.000,2020-11-11 00:00:00.000,0,0,0,0,0,1,0,475,
371720,NIG-2020-1-14669-297,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-11-20,The article also mentions one""",@TomaszRolbiecki,2020-11-20,The article also mentions one,ISWAP,5,Goniri-Ngamdu road,on the road from Goniri to Ngamdu,,,11.630326,12.322796,POINT (12.322796 11.630326),146545,Nigeria,NGA,475,Africa,1,1,2020-11-11 00:00:00.000,2020-11-11 00:00:00.000,0,0,0,0,0,1,0,475,
371688,NIG-2020-1-14669-295,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-11-15,ISWAP claims its fighters repelled""",@TomaszRolbiecki,2020-11-15,ISWAP claims its fighters repelled,ISWAP,1,Baga village,in Baga,Borno state,Kukawa lga,13.094660,13.823430,POINT (13.82343 13.09466),148708,Nigeria,NGA,475,Africa,1,1,2020-11-14 00:00:00.000,2020-11-14 00:00:00.000,0,0,0,0,0,5,0,475,
371698,NIG-2020-1-14669-296,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""@TomaszRolbiecki,2020-11-17,ISWAP claim of the day:"";""@ottotgs,2020-11-18,Tribute to #Fallen #Troops""",@TomaszRolbiecki;@ottotgs,2020-11-17;2020-11-18,ISWAP claim of the day:;Tribute to #Fallen #Troops,ISWAP,5,Gajiram-Monguno road,on the Monguno-Gajiram road,Borno state,,12.652114,13.362951,POINT (13.362951 12.652114),147987,Nigeria,NGA,475,Africa,1,1,2020-11-16 00:00:00.000,2020-11-16 00:00:00.000,1,0,0,0,1,1,0,475,
371786,NIG-2020-1-14669-298,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""@TomaszRolbiecki,2020-11-22,The Magumeri attack from"";""@TomaszRolbiecki,2020-11-30,3. 6 ISWAP fighters killed""",@TomaszRolbiecki;@TomaszRolbiecki,2020-11-22;2020-11-30,The Magumeri attack from;3. 6 ISWAP fighters killed,ISWAP,1,Magumeri town,Magumeri,Borno state,Magumeri lga,12.113100,12.827400,POINT (12.8274 12.1131),147266,Nigeria,NGA,475,Africa,1,1,2020-11-20 00:00:00.000,2020-11-20 00:00:00.000,0,6,0,0,6,7,6,475,
370901,NIG-2020-1-14669-285,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,6,"""Agence France Presse,2020-11-21,Jihadists kill eight in Nigeria ambush: security sources"";""All Africa,2020-11-23,Six Soldiers Killed, Many Injured in Boko Haram Ambush"";""All Africa,2020-11-23,Many Killed As Soldiers Repel Boko Haram Ambush - Report
CR 	Premium Times"";""Crisis Watch,2020-12-01,Nigeria NOVEMBER 2020"";""@TomaszRolbiecki,2020-11-22,Regardless, ISWAP claimed the attack"";""HumAngle,2020-11-22,Soldiers Killed In ISWAP Ambush In Borno""",Agence France Presse;All Africa;All Africa;Crisis Watch;@TomaszRolbiecki;HumAngle,2020-11-21;2020-11-23;2020-11-23;2020-12-01;2020-11-22;2020-11-22,"Jihadists kill eight in Nigeria ambush: security sources;Six Soldiers Killed, Many Injured in Boko Haram Ambush;Many Killed As Soldiers Repel Boko Haram Ambush - Report
CR 	Premium Times;Nigeria NOVEMBER 2020;Regardless, ISWAP claimed the attack;Soldiers Killed In ISWAP Ambush In Borno",security sources /// Crisis Watch,2,Gajiram town,"in Kwayamti village, about 15 kilometres from Gajiram

///

at Ja'alta along Gajiram-Monguno road

///

between Jagiran and Monguno",Borno state,Nganzai lga,12.493030,13.209140,POINT (13.20914 12.49303),147267,Nigeria,NGA,475,Africa,1,1,2020-11-21 00:00:00.000,2020-11-21 00:00:00.000,8,0,0,0,8,10,8,475,
